Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13
powiat;gmina;powierzchnia;gestosc;populacja;0-4;5-9;10-14;15-19;suma_U19;wydatki;przystanki;Średni wynik
powiat myślenicki;gmina Myślenice;154;296.9;45723;2193;2840;2783;2777;10593;155629608.68;211;67,64809967
powiat myślenicki;gmina Pcim;89;124.4;11072;594;731;649;666;2640;30834523.35;100;62,23237999
powiat myślenicki;gmina Raciechowice;61;105.3;6423;368;429;426;312;1535;32726773.25;37;64,02412815
powiat myślenicki;gmina Siepraw;32;305.0;9760;458;732;601;617;2408;34816245.84;84;65,63670771
powiat myślenicki;gmina Sułkowice;60;252.2;15132;749;1009;918;887;3563;46429982.58;55;64,43009949
powiat myślenicki;gmina Tokarnia;69;128.0;8832;503;620;548;571;2242;27073226.28;51;53,37350384
powiat myślenicki;gmina Wiśniowa;67;112.4;7531;408;503;498;486;1895;27685385.69;23;63,79615593
powiat nowosądecki;Grybów;17;348.9;5931;301;362;357;330;1350;16792943.76;19;61,42829341
powiat nowosądecki;gmina Chełmiec;112;267.0;29904;1634;2086;2017;1961;7698;83125343.61;169;65,05388427
powiat nowosądecki;gmina Gródek nad Dunajcem;88;100.4;8835;447;531;549;588;2115;30222879.62;32;38,45912614
powiat nowosądecki;gmina Grybów;154;165.5;25487;1378;1843;1865;1764;6850;89214901.42;125;56,95097962
powiat nowosądecki;gmina Kamionka Wielka;65;161.4;10491;580;780;704;707;2771;33387872.37;76;59,52210526
powiat nowosądecki;gmina Korzenna;107;135.0;14445;893;993;1041;887;3814;44168884.92;64;59,34477355
powiat nowosądecki;gmina Krynica-Zdrój;145;106.3;15414;626;860;829;807;3122;40060280.49;146;63,48262365
powiat nowosądecki;gmina Łabowa;119;50.9;6057;362;459;469;398;1688;19667063.05;26;66,42988506
powiat nowosądecki;gmina Łącko;133;125.8;16731;967;1192;1214;1159;4532;53698212.07;136;51,34205723
powiat nowosądecki;gmina Łososina Dolna;85;132.0;11220;651;812;786;773;3022;32872869.72;27;70,42955464
powiat nowosądecki;gmina Muszyna;141;78.5;11068;450;602;694;630;2376;28616233.86;70;59,38619129
powiat nowosądecki;gmina Nawojowa;50;176.6;8830;482;612;602;685;2381;21747498.78;44;68,23710366
powiat nowosądecki;gmina Piwniczna-Zdrój;126;77.7;9790;438;544;559;584;2125;26416072.48;54;61,13212518
powiat nowosądecki;gmina Podegrodzie;65;210.7;13696;862;1034;978;908;3782;41918398.54;120;60,04051565
powiat nowosądecki;gmina Rytro;42;86.7;3641;159;201;229;214;803;11374934.14;14;66,08076309
powiat nowosądecki;gmina Stary Sącz;101;232.6;23493;1161;1505;1429;1509;5604;56432366.19;89;62,23344715
powiat nowotarski;Nowy Targ;51;647.0;32997;1341;1656;1702;1797;6496;72257479.53;116;64,2232134
powiat nowotarski;gmina Szczawnica;88;75.4;6635;211;328;367;369;1275;15889434.3;25;68,90984579
powiat nowotarski;gmina Czarny Dunajec;218;101.8;22192;1092;1269;1189;1323;4873;80163181.65;102;56,98036543
powiat nowotarski;gmina Czorsztyn;62;122.3;7583;343;455;483;461;1742;20725924.15;47;60,91124569
powiat nowotarski;gmina Jabłonka;213;90.3;19234;1099;1317;1269;1263;4948;59848710.61;87;67,8172043
powiat nowotarski;gmina Krościenko nad Dunajcem;57;115.5;6584;277;430;417;394;1518;18601849.62;3;63,23158598
powiat nowotarski;gmina Lipnica Wielka;67;89.9;6023;344;445;413;411;1613;29108716.34;14;67,58686441
powiat nowotarski;gmina Łapsze Niżne;126;73.7;9286;482;509;528;515;2034;27928779.01;65;66,81035115
powiat nowotarski;gmina Nowy Targ;208;115.8;24086;1166;1384;1396;1444;5390;61661187.77;152;66,58122304
