x,y,nazwa,powiat,gmina,postal_code,id
21.1792936395659,49.6284957785297,Szkoła Podstawowa im. Władysława Długosza,powiat gorlicki,gmina Sękowa,,w1007481280
21.226929571071,49.7555045371172,Zespół Szkolno-Przedszkolny w Binarowej,powiat gorlicki,gmina Biecz,,w1017176251
21.0446304916886,49.6013326303766,Zespół Szkolno-Przedszkolny nr 1 w Ropie,powiat gorlicki,gmina Ropa,,w1019744214
21.0943582459101,49.6552233982079,Szkoła Podstawowa im. Juliusza Słowackiego w Bystrej,powiat gorlicki,gmina Gorlice,,w1023038893
21.3121554741807,49.5155032479592,,powiat gorlicki,gmina Sękowa,,w1023402162
21.0587663339282,49.5787490222562,Szkoła Podstawowa nr 2 im. Marii Konopnickiej w Ropie,powiat gorlicki,gmina Ropa,,w1030300579
21.0656333525106,49.6150653689895,Specjalny Ośrodek Szkolno-Wychowawczy im Janusza Korczaka w Szymbarku,powiat gorlicki,gmina Gorlice,,w1034276934
21.053807549054,49.5112017400219,Szkoła Podstawowa im. św. Andrzeja Boboli,powiat gorlicki,gmina Uście Gorlickie,,w1070599550
21.1604233472918,49.4727693176368,Zespół Szkół Centrum Kształcenia Rolniczego w Hańczowej,powiat gorlicki,gmina Uście Gorlickie,,w1070774423
21.0965704261164,49.6538077915469,Zespół Szkół Centrum Kształcenia Rolniczego Bystra,powiat gorlicki,gmina Gorlice,,w1100708352
21.2702741429551,49.6249322085239,Szkoła podstawowa w Męcinie Wielkiej,powiat gorlicki,gmina Sękowa,,w1149715898
21.2982424005554,49.587930037666,Niepubliczna Szkoła Podstawowa W Bodakach,powiat gorlicki,gmina Sękowa,,w1154830156
21.0202919563529,49.714549218949,Zespół Szkolno-Przedszkolny nr 2 w Łużnej,powiat gorlicki,gmina Łużna,,w1179766804
21.2230486953767,49.6694732126829,Szkoła Podstawowa im. Ignacego Łukasiewicza w Kobylance,powiat gorlicki,gmina Gorlice,38-303,w1366675023
21.0872593527652,49.5724644515024,Zespół Szkolno-Przedszkolny w Łosiu,powiat gorlicki,gmina Ropa,,w1431459559
20.9843946594361,49.729910086871,,powiat gorlicki,gmina Bobowa,,w1445767173
21.2558824751706,49.7329455244593,Zespół Szkół Zawodowych im. Świętej Jadwigi Królowej,powiat gorlicki,gmina Biecz,,w1448564453
21.1033276648753,49.7247680320777,,powiat gorlicki,gmina Moszczenica,,w1461473915
21.1016015253537,49.7238955209723,,powiat gorlicki,gmina Moszczenica,,w1461473941
20.5009482073379,49.7807144678292,Szkoła Podstawowa im. Jana Matejki w Kamionce Małej,powiat limanowski,gmina Laskowa,34-602,w163103134
20.2440784737467,49.715859431705,Szkoła Podstawowa im. Leopolda Węgrzynowicza w Dobrej,powiat limanowski,gmina Dobra,,w188810431
20.2331450359283,49.6868160116447,,powiat limanowski,gmina Dobra,34-643,w188810432
20.246160354759,49.7159643265983,"Przedszkole, Szkoła Muzyczna I Stopnia",powiat limanowski,gmina Dobra,34-642,w188810436
20.2307469473357,49.8115472552056,Szkoła podstawowa,powiat limanowski,gmina Jodłownik,34-621,w232125056
20.3323644797301,49.7859648854989,Szkoła Podstawowa im. Marii Dąbrowskiej w Nowym Rybiu,powiat limanowski,gmina Limanowa,34-652,w286059491
20.1299634367303,49.6767537874898,Szkoła Podstawowa im. Jana Pawła II,powiat limanowski,gmina Mszana Dolna,,w306771749
20.3468547936309,49.5727587357482,Szkoła Podstawowa nr 1 im. Bohaterów Warszawy w Kamienicy,powiat limanowski,gmina Kamienica,34-608,w310668900
20.5328683152154,49.5930947421371,Szkoła Podstawowa im. Jana Kochanowskiego w Świdniku,powiat limanowski,gmina Łukowica,34-606,w316060700
20.0390223534576,49.7018208146452,Zespół Placówek Oświatowych w Kasince Małej,powiat limanowski,gmina Mszana Dolna,,w344601224
20.1193685700264,49.6435282561607,Szkoła Podstawowa nr 1 im. Marii Konopnickiej w Mszanie Górnej,powiat limanowski,gmina Mszana Dolna,34-733,w345029067
20.1252735252102,49.6134659791045,Zespół Placówek Oświatowych im. Katarzyny Smreczyńskiej w Koninie,powiat limanowski,gmina Niedźwiedź,,w345138841
20.5052167223879,49.6377149406204,,powiat limanowski,gmina Łukowica,,w367555545
20.500930425296,49.6676313033293,Szkoła Podstawowa w Kaninie,powiat limanowski,gmina Limanowa,,w368599412
20.4181511274301,49.7023062806265,Szkoła Podstawowa nr 3 im. ks. płk. Józefa Jońca w Limanowej,powiat limanowski,Limanowa,34-600,w372241544
20.4076378684906,49.7188142868905,Zespół Szkół Nr 1 im. Józefa Piłsudskiego w Limanowej,powiat limanowski,Limanowa,,w385027739
20.4072064966881,49.7197388571417,Szkoła Podstawowa nr 2 im. Tadeusza Kościuszki w Limanowej,powiat limanowski,Limanowa,,w385028864
20.4030669138272,49.7233954003379,Zespół Szkół Nr1 im.Józefa Piłsudskiego w Limanowej,powiat limanowski,Limanowa,,w385100169
20.4163892017267,49.7148198189146,I Liceum Ogólnokształcące im. Władysława Orkana w Limanowej,powiat limanowski,Limanowa,34-600,w385533529
20.4611787130493,49.6990213292543,Szkoła Podstawowa im. Stanisława Wyspiańskiego w Mordarce,powiat limanowski,gmina Limanowa,34-600,w386063378
20.169376552828,49.6113484825878,Szkoła Podstawowa Nr 2 im. św. Stanisława Kostki w Lubomierzu,powiat limanowski,gmina Mszana Dolna,,w398812651
20.5401945483693,49.7012484325261,Szkoła Podstawowa nr 2 im. Konstytucji 3 Maja w Męcinie,powiat limanowski,gmina Limanowa,34-654,w400890136
20.3239493596852,49.7233137439832,Szkoła Podstawowa im. Józefa Marka w Tymbarku,powiat limanowski,gmina Tymbark,,w421668484
20.2985551451056,49.6061667324487,Szkoła Podstawowa nr 1 im. 1 Pułku Strzelców Podhalańskich Armii Krajowej w Szczawie,powiat limanowski,gmina Kamienica,34-607,w422490532
20.3798347141236,49.7580576773925,Zespół Szkół im. Władysława Reymonta,powiat limanowski,gmina Limanowa,,w434333358
20.3356419625117,49.7643823493778,Szkoła Podstawowa im. Stanisława Wyspiańskiego w Rupniowie,powiat limanowski,gmina Limanowa,,w442940778
20.27304015,49.7842562,Szkoła Podstawowa im. Jana Pawła II Sadek-Kostrza w Sadku,powiat limanowski,gmina Jodłownik,,w455174782
20.0831762593868,49.6775847225793,Zespół Szkół Miejskich nr 2,powiat limanowski,Mszana Dolna,,w463132290
20.4199889509564,49.698496378395,Zespół Szkół Technicznych i Ogólnokształcących im. Jana Pawła II,powiat limanowski,Limanowa,,w491748135
20.1573218480865,49.7398090661597,,powiat limanowski,gmina Dobra,,w503878533
20.4082509093541,49.6265705096246,Szkoła Podstawowa im. Mikołaja Kopernika w Młyńczyskach,powiat limanowski,gmina Łukowica,,w665440412
20.4225729951864,49.7080003331036,Zespół Szkolno-Przedszkolny nr 1 im. Marii Konopnickiej w Limanowej,powiat limanowski,Limanowa,34-600,w670040784
20.3854854777028,49.7387875076925,,powiat limanowski,Limanowa,,w674529974
20.2965315012337,49.5840286946722,Szkoła Podstawowa im. M. Konopnickiej w Zasadnem,powiat limanowski,gmina Kamienica,,w674780285
20.1887087400144,49.6667230740948,Szkoła Podstawowa im Janusza Korczaka w Wilczycach,powiat limanowski,gmina Dobra,34-643,w724432844
20.3495084746891,49.6972601841324,Zespół Placówek Oświatowych w Słopnicach,powiat limanowski,gmina Słopnice,,w725935214
20.1758380593452,49.7522944826875,Szkoła Podstawowa im. Jana Pawła II w Skrzydlnej,powiat limanowski,gmina Dobra,,w731898632
20.316951,49.7369958,Zespół Szkół im. Komisji Edukacji Narodowej,powiat limanowski,gmina Tymbark,34-650,w733984281
20.2864604937884,49.7404544848478,Szkoła Podstawowa im. Tadeusza Kościuszki w Zawadce,powiat limanowski,gmina Tymbark,,w736843870
20.2330309677218,49.7721526154357,Zespół Szkolno-Przedszkolny w Jodłowniku,powiat limanowski,gmina Jodłownik,,w743596473
20.1915008350377,49.7807044033541,,powiat limanowski,gmina Jodłownik,,w806394136
20.2609849200895,49.7551753849036,,powiat limanowski,gmina Jodłownik,,w817677566
20.2418189,49.7925563,Szkoła Podstawowa w Mstowie,powiat limanowski,gmina Jodłownik,,w833604314
20.0518693761325,49.7218283637722,,powiat limanowski,gmina Mszana Dolna,,w918300067
20.4490337376256,49.7609624802143,Zespół Szkolno-Przedszkolny im. Janusza Korczaka w Laskowej,powiat limanowski,gmina Laskowa,34-602,w919243190
20.0745707292485,49.676609316641,Zespół Szkół Techniczno-Informatycznych w Mszanie Dolnej,powiat limanowski,Mszana Dolna,,w957619522
20.4262928798096,49.6796848080004,Szkoła Podstawowa nr 2 im. Stanisława Konarskiego w Starej Wsi,powiat limanowski,gmina Limanowa,,w966773738
20.3454706239503,49.7482343154062,Zespół Szkół Katolickiego Stowarzyszenia Wychowawców,powiat limanowski,gmina Tymbark,,w977912849
20.2874562487142,49.6185705675323,Szkoła Podstawowa nr 2 im. Mikołaja Kopernika w Szczawie,powiat limanowski,gmina Kamienica,34-607,w1002123665
20.0793564509943,49.6689377834953,Zespół Szkół Ponadpodstawowych im. inż. Józefa Marka w Mszanie Dolnej,powiat limanowski,Mszana Dolna,,w1017809751
20.3481564347055,49.6238777205979,Szkoła Podstawowa im. Henryka Sienkiewicza w Zalesiu,powiat limanowski,gmina Kamienica,,w1020528477
20.1915340967461,49.7801376604276,Zespół Szkół w Szczyrzycu,powiat limanowski,gmina Jodłownik,,w1028753309
20.3967590357515,49.6758712534481,,powiat limanowski,gmina Limanowa,,w1038720011
20.4594713178664,49.6749488264904,,powiat limanowski,gmina Limanowa,,w1042237589
20.2610631959084,49.6781780564691,,powiat limanowski,gmina Dobra,,w1066119785
20.4716366975973,49.5959001941017,,powiat limanowski,gmina Łukowica,,w1095002102
20.511211071473,49.5808041879405,Szkoła Podstawowa im. Kazimierza Pułaskiego w Jadamwoli,powiat limanowski,gmina Łukowica,34-606,w1099311092
20.4071767499391,49.7478877592707,Szkoła Podstawowa im. św. Maksymiliana Marii Kolbego w Młynnem,powiat limanowski,gmina Limanowa,,w1103412853
20.3506359396507,49.5897656259995,Zespół Szkoły i Przedszkola im. Jana Sobieskiego w Zbludzy,powiat limanowski,gmina Kamienica,34-608,w1109618660
20.5726786798519,49.6863428461959,Szkoła Podstawowa im. Królowej Korony Polskiej w Kłodnem,powiat limanowski,gmina Limanowa,,w1115281986
20.1384218520768,49.7242673292704,Zespół Szkoły i Przedszkola nr1 w Kasinie Wielkiej,powiat limanowski,gmina Mszana Dolna,34-741,w1124353749
20.1361433130643,49.7033745871809,Zespół Szkoły i Przedszkola nr2 w Kasinie Wielkiej,powiat limanowski,gmina Mszana Dolna,34-741,w1124357068
20.1861070954855,49.6150377833954,,powiat limanowski,gmina Mszana Dolna,,w1136576099
20.4928851522277,49.6043179478294,Szkoła podstawowa im. Marii Składowskiej-Curie w Łukowicy,powiat limanowski,gmina Łukowica,,w1156604905
20.0701882820809,49.6762858196889,,powiat limanowski,Mszana Dolna,,w1159359221
20.5578224367079,49.7475322767341,Szkoła Podstawowa w Ujanowicach,powiat limanowski,gmina Laskowa,,w1213218381
20.1419771451411,49.626978750864,Zespół Szkoły i Przedszkola im. Kazimierza Przerwy-Tetmajera w Mszanie Górnej,powiat limanowski,gmina Mszana Dolna,,w1230422168
20.5058096904689,49.6901018367715,Zespół Szkół w Pisarzowej,powiat limanowski,gmina Limanowa,,w1349723730
20.5538404050592,49.6793432859954,Zespół Szkół nr 1 im. Jana Pawła II w Męcinie,powiat limanowski,gmina Limanowa,,w1349725429
20.3176226391608,49.737152891014,Zespół Szkół im. Komisji Edukacji Narodowej,powiat limanowski,gmina Tymbark,,w1360850464
20.2180746013229,49.6557303081821,,powiat limanowski,gmina Dobra,,w1362926103
20.1555935726647,49.6507141423037,,powiat limanowski,gmina Mszana Dolna,,w1372166824
20.0617068784821,49.6074744220178,Szkoła Podstawowa im. Władysława Orkana w Porębie Wielkiej,powiat limanowski,gmina Niedźwiedź,,w1456098514
20.0823342289394,49.635272792524,Zespół Placówek Oświatowych w Podobinie,powiat limanowski,gmina Niedźwiedź,34-735,w1456098515
20.1230679086663,49.612631457151,Zespół Placówek Oświatowych im. Katarzyny Smreczyńskiej w Koninie,powiat limanowski,gmina Niedźwiedź,,w1456098516
19.5712102080117,50.2616371928617,Zespół Szkolno-Przedszkolny Integracyjny Nr 1,powiat olkuski,gmina Olkusz,32-300,w177480149
19.5849645144998,50.2774681047979,Szkoła Podstawowa nr 9 im. ppłk pilota Stanisława Skarżyńskiego w Olkuszu,powiat olkuski,gmina Olkusz,32-300,w177525309
19.5786008510061,50.2753783004335,IV Liceum Ogólnokształcące im. Krzysztofa Kamila Baczyńskiego,powiat olkuski,gmina Olkusz,32-300,w177892658
19.5634919019443,50.2659663444353,,powiat olkuski,gmina Olkusz,,w178204021
19.5636357079332,50.2839923172144,Szkoła Podstawowa nr 5 im. Marcina Bylicy w Olkuszu,powiat olkuski,gmina Olkusz,32-300,w180126495
19.5540689009556,50.278040060176,Szkoła Podstawowa nr 1 im. Mikołaja Kopernika w Olkuszu,powiat olkuski,gmina Olkusz,32-300,w181269848
19.5618956964388,50.2805941510654,Zespół Szkół Nr 1 im. Stanisława Staszica,powiat olkuski,gmina Olkusz,32-300,w181678456
19.5792175657339,50.2768243661832,I Liceum Ogólnokształcące im. Króla Kazimierza Wielkiego,powiat olkuski,gmina Olkusz,32-300,w184943737
