;;;;;;jêzyk polski;;;;;matematyka;;;;;jêzyk angielski;;;;;jêzyk francuski;;;;;jêzyk hiszpañski;;;;;jêzyk niemiecki;;;;;jêzyk rosyjski;;;;;jêzyk w³oski;;;;
ID OKE;województwo - nazwa;powiat - nazwa;Gmina - nazwa;Typ gminy;Kod teryt gminy;liczba zdaj¹cych;wynik œredni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdaj¹cych;wynik œredni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdaj¹cych;wynik œredni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdaj¹cych;wynik œredni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdaj¹cych;wynik œredni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdaj¹cych;wynik œredni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdaj¹cych;wynik œredni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdaj¹cych;wynik œredni (%);odchylenie standardowe (%);mediana (%);modalna (%)
5;£ódzkie;£owicki;£owicz;Gmina wiejska;1005072;40;65,1;16,4708834;70;73;40;55,1;28,09608514;50;30;40;67,85;28,7389544;80;80;;;;;;;;;;;;;;;;;;;;;;;;;
5;£ódzkie;£owicki;£owicz;Gmina miejska;1005011;288;67,17361111;16,30964688;69;76;288;62,57638889;28,57667072;70;93;288;75,63541667;25,86092067;89;98;;;;;;;;;;;;;;;;1;;;;;;;;;
5;£ódzkie;£owicki;£yszkowice;Gmina wiejska;1005082;64;59,09375;18,30874002;62;64;64;51,859375;28,80042707;57;10;64;57,203125;29,92969872;59;20;;;;;;;;;;;;;;;;;;;;;;;;;
5;£ódzkie;£ódzki Wschodni;Andrespol;Gmina wiejska;1006022;136;67,60294118;16,13968411;71;76;135;50,80740741;28,11286678;47;73;136;75,13235294;27,07419241;89;96;;;;;;;;;;;;;;;;;;;;;;;;;
5;£ódzkie;£ódzki Wschodni;Brójce;Gmina wiejska;1006032;80;69,0875;16,6344475;73;73;80;57,4;32,7946642;63;97;80;72,2125;28,52178718;85;98;;;;;;;;;;;;;;;;;;;;;;;;;
5;£ódzkie;£ódzki Wschodni;Koluszki;Obszar wiejski;1006075;70;65,02857143;14,08339593;64;60;70;48,51428571;28,71621884;43,5;10;69;68,88405797;27,97801219;78;96;;;;;;;;;;;;;;;;;;;;;;;;;
5;£ódzkie;£ódzki Wschodni;Koluszki;Miasto;1006074;132;70,21969697;16,0931542;72;62;132;62,42424242;28,8796146;67;97;132;75,12121212;26,38698896;85;98;;;;;;;;;;;;;;;;;;;;;;;;;
5;£ódzkie;£ódzki Wschodni;Nowosolna;Gmina wiejska;1006082;49;63,97959184;14,45117013;64;62;49;55,81632653;30,51307747;60;93;49;72,16326531;29,00341073;85;98;;;;;;;;;;;;;;;;;;;;;;;;;
5;£ódzkie;£ódzki Wschodni;Rzgów;Obszar wiejski;1006105;33;63,51515152;14,98710802;64;47;33;48,12121212;32,29669049;50;13;33;66,93939394;29,99791851;82;96;;;;;;;;;;;;;;;;;;;;;;;;;
5;£ódzkie;£ódzki Wschodni;Rzgów;Miasto;1006104;67;67,05970149;15,79332997;67;64;67;51,10447761;25,96618601;50;63;67;74,76119403;24,78871286;80;96;;;;;;;;;;;;;;;;;;;;;;;;;
5;£ódzkie;£ódzki Wschodni;Tuszyn;Obszar wiejski;1006115;20;62,05;12,46785868;64;64;20;36,75;19,08107701;35;23;20;57,05;30,95072697;42;98;;;;;;;;;;;;;;;;;;;;;;;;;
5;£ódzkie;£ódzki Wschodni;Tuszyn;Miasto;1006114;87;59,85057471;16,93227126;62;71;87;50,26436782;30,85876606;47;33;88;69,36363636;29,37074217;81;98;;;;;;;;;;;;;;;;;;;;;;;;;
5;£ódzkie;£ódŸ;£ódŸ;Gmina miejska;1061011;4505;62,17980022;18,82457341;64;71;4506;53,48268975;30,1145879;53;17;4618;73,62083153;28,13058501;87;98;;;;;;2;;;;;22;79,86363636;24,94957725;95,5;96;18;86,66666667;12,26557966;91;100;;;;;
5;£ódzkie;£êczycki;Daszyna;Gmina wiejska;1004022;15;53,06666667;21,51423301;53;51;15;45,93333333;30,67565086;60;13;15;44,66666667;26,3531571;42;42;;;;;;;;;;;;;;;;;;;;;;;;;
5;£ódzkie;£êczycki;Grabów;Obszar wiejski;1004045;23;59,65217391;19,31570367;69;69;23;37,04347826;25,92879591;33;13;23;49,34782609;33,04227687;33;15;;;;;;;;;;;;;;;;;;;;;;;;;
5;£ódzkie;£êczycki;Grabów;Miasto;1004044;19;57,52631579;15,72918314;60;60;19;40,78947368;25,19728253;40;7;19;58,52631579;29,83528187;69;78;;;;;;;;;;;;;;;;;;;;;;;;;
5;£ódzkie;£êczycki;Góra Œwiêtej Ma³gorzaty;Gmina wiejska;1004032;39;64,48717949;16,79571343;64;64;39;40,12820513;24,61100388;37;13;39;53,07692308;28,09634032;53;20;;;;;;;;;;;;;;;;;;;;;;;;;
5;£ódzkie;£êczycki;Pi¹tek;Obszar wiejski;1004065;7;82,42857143;9,393875556;84;84;7;85,71428571;13,96643206;93;93;7;48,85714286;23,79933115;49;;;;;;;;;;;;;;;;;;;;;;;;;;
5;£ódzkie;£êczycki;Pi¹tek;Miasto;1004064;24;61,33333333;19,73927275;65,5;38;24;44,625;27,01822302;43,5;13;24;60,75;30,2038215;76;15;;;;;;;;;;;;;;;;;;;;;;;;;
5;£ódzkie;£êczycki;Witonia;Gmina wiejska;1004082;15;62,13333333;14,59619433;58;58;15;57,53333333;25,09679041;57;50;15;68,93333333;30,03213094;85;96;;;;;;;;;;;;;;;;;;;;;;;;;
5;£ódzkie;£êczycki;£êczyca;Gmina wiejska;1004052;83;62,19277108;13,81326221;64;73;83;46,38554217;26,66654026;43;27;84;60,33333333;31,03160192;63,5;98;;;;;;;;;;;;;;;;;;;;;;;;;
5;£ódzkie;£êczycki;£êczyca;Gmina miejska;1004011;143;63,77622378;18,47107721;67;58;143;46,99300699;29,18029235;40;10;143;68,64335664;29,83975984;80;96;;;;;;;;;;;;;;;;;;;;;;;;;
5;£ódzkie;£êczycki;Œwinice Warckie;Gmina wiejska;1004072;23;48,91304348;22,34300405;51;24;23;35,65217391;30,63758518;23;13;23;40,95652174;24,81668138;42;16;;;;;;;;;;;;;;;;;;;;;;;;;
5;Œwiêtokrzyskie;Buski;Busko-Zdrój;Obszar wiejski;2601015;77;66,36363636;17,76828423;67;58;77;39,42857143;24,74253322;33;17;76;66,76315789;31,23925854;78;98;;;;;;;;;;;1;;;;;;;;;;;;;;
5;Œwiêtokrzyskie;Buski;Busko-Zdrój;Miasto;2601014;192;66,4375;15,11815444;69;69;192;53,63020833;27,03766131;53;30;191;79,22513089;24,21147227;91;98;;;;;;;;;;;1;;;;;;;;;;;;;;
5;Œwiêtokrzyskie;Buski;Gnojno;Gmina wiejska;2601022;30;66,83333333;15,27761616;67;62;30;43;26,93820088;38,5;17;27;69,22222222;24,77952161;71;96;;;;;;;;;;;3;;;;;;;;;;;;;;
5;Œwiêtokrzyskie;Buski;Nowy Korczyn;Obszar wiejski;2601035;15;60,73333333;19,25085857;64;49;15;32,4;23,32895197;27;40;15;62,53333333;29,66224686;64;25;;;;;;;;;;;;;;;;;;;;;;;;;
5;Œwiêtokrzyskie;Buski;Nowy Korczyn;Miasto;2601034;26;53,34615385;15,4171291;49;49;26;46;31,20157787;40;20;25;52,48;31,4961839;51;16;;;;;;;;;;;1;;;;;;;;;;;;;;
5;Œwiêtokrzyskie;Buski;Pacanów;Obszar wiejski;2601045;39;64,38461538;12,40681241;62;56;39;63,66666667;29,96607769;67;97;39;64,12820513;26,35475872;62;98;;;;;;;;;;;;;;;;;;;;;;;;;
5;Œwiêtokrzyskie;Buski;Pacanów;Miasto;2601044;22;59;14,34002663;60;60;22;56,77272727;29,12657615;65;13;22;62,59090909;29,97219786;69;25;;;;;;;;;;;;;;;;;;;;;;;;;
5;Œwiêtokrzyskie;Buski;Solec-Zdrój;Gmina wiejska;2601052;39;61,79487179;19,03462363;64;64;39;46,28205128;30,04436781;43;17;39;60,05128205;29,75192191;62;91;;;;;;;;;;;;;;;;;;;;;;;;;
5;Œwiêtokrzyskie;Buski;Stopnica;Miasto;2601064;63;53,53968254;18,39153135;56;49;63;46,63492063;30,3316596;37;13;62;58,77419355;30,19795942;64,5;16;;;;;;;;;;;1;;;;;;;;;;;;;;
5;Œwiêtokrzyskie;Buski;Tuczêpy;Gmina wiejska;2601072;33;60,57575758;16,09824064;64;64;33;35,51515152;23,14397783;27;13;33;57,87878788;26,7352424;53;36;;;;;;;;;;;;;;;;;;;;;;;;;
5;Œwiêtokrzyskie;Buski;Wiœlica;Miasto;2601084;33;64,66666667;12,69613796;62;58;33;51,93939394;26,44140394;53;20;32;63,53125;31,34284645;75,5;18;;;;;;;;;;;;;;;;;;;;;;;;;
5;Œwiêtokrzyskie;Jêdrzejowski;Imielno;Gmina wiejska;2602012;31;54,67741935;21,4391669;58;56;31;49,83870968;23,94361222;47;43;31;63,19354839;29,47762339;76;16;;;;;;;;;;;;;;;;;;;;;;;;;
5;Œwiêtokrzyskie;Jêdrzejowski;Jêdrzejów;Obszar wiejski;2602025;59;61,18644068;17,63708975;62;60;59;54,23728814;26,12313669;50;50;58;63,17241379;28,8462858;70;73;;;;;;;;;;;1;;;;;;;;;;;;;;
5;Œwiêtokrzyskie;Jêdrzejowski;Jêdrzejów;Miasto;2602024;222;60,99099099;15,71651768;62;71;222;53,40990991;28,30828502;53;23;221;72,40723982;28,00010895;85;96;;;;;;;;;;;1;;;;;;;;;;;;;;
5;Œwiêtokrzyskie;Jêdrzejowski;Ma³ogoszcz;Obszar wiejski;2602035;68;58,04411765;17,16908458;58;47;68;46,19117647;28,6711873;40;23;68;59,86764706;30,42730218;58;85;;;;;;;;;;;;;;;;;;;;;;;;;
5;Œwiêtokrzyskie;Jêdrzejowski;Ma³ogoszcz;Miasto;2602034;62;57,67741935;15,83867683;61;62;62;56,12903226;27,14743728;55;23;62;70,58064516;28,87657181;84,5;96;;;;;;;;;;;;;;;;;;;;;;;;;
5;Œwiêtokrzyskie;Jêdrzejowski;Nag³owice;Gmina wiejska;2602042;28;57,85714286;17,60826568;60;60;28;42,96428571;30,20582033;37;20;28;56,71428571;29,16683188;63,5;13;;;;;;;;;;;;;;;;;;;;;;;;;
5;Œwiêtokrzyskie;Jêdrzejowski;Oksa;Gmina wiejska;2602052;51;55,82352941;16,76680413;58;64;51;52,7254902;26,99896761;53;67;51;70,01960784;23,87014724;76;56;;;;;;;;;;;;;;;;;;;;;;;;;
5;Œwiêtokrzyskie;Jêdrzejowski;Sobków;Gmina wiejska;2602082;75;59,76;16,6716046;62;67;75;50,82666667;29,5830462;47;13;75;63,85333333;30,33532301;73;98;;;;;;;;;;;;;;;;;;;;;;;;;
5;Œwiêtokrzyskie;Jêdrzejowski;Sêdziszów;Obszar wiejski;2602065;29;54,72413793;16,61095723;60;64;29;45,44827586;31,15211423;40;80;29;56,75862069;30,97569144;49;47;;;;;;;;;;;;;;;;;;;;;;;;;
5;Œwiêtokrzyskie;Jêdrzejowski;Sêdziszów;Miasto;2602064;69;53,05797101;18,44449885;56;62;69;41,66666667;28,65419344;37;7;69;62,79710145;32,00479118;75;100;;;;;;;;;;;;;;;;;;;;;;;;;
5;Œwiêtokrzyskie;Jêdrzejowski;S³upia;Gmina wiejska;2602072;45;45,93333333;16,3970187;49;51;45;31,37777778;22,09503603;27;10;37;59,91891892;29,96969494;62;98;;;;;;;;;;;8;31;6,123724357;31;;;;;;;;;;;
5;Œwiêtokrzyskie;Jêdrzejowski;Wodzis³aw;Obszar wiejski;2602095;51;58,15686275;18,37023653;62;62;51;44,07843137;25,96365721;47;13;51;56,80392157;29,77959534;58;18;;;;;;;;;;;;;;;;;;;;;;;;;
5;Œwiêtokrzyskie;Jêdrzejowski;Wodzis³aw;Miasto;2602094;18;61,11111111;15,90558563;63;58;18;37,83333333;21,82569841;33,5;20;18;51,38888889;24,74792671;47,5;22;;;;;;;;;;;;;;;;;;;;;;;;;
5;Œwiêtokrzyskie;Kazimierski;Bejsce;Gmina wiejska;2603012;27;55,22222222;17,38098862;60;49;27;41,77777778;28,2938723;37;17;27;44,25925926;23,80568341;38;24;;;;;;;;;;;;;;;;;;;;;;;;;
5;Œwiêtokrzyskie;Kazimierski;Czarnocin;Gmina wiejska;2603022;28;58,07142857;15,28521361;56;53;28;59,92857143;21,21813337;60;40;28;55,78571429;29,35297155;52,5;38;;;;;;;;;;;;;;;;;;;;;;;;;
5;Œwiêtokrzyskie;Kazimierski;Kazimierza Wielka;Obszar wiejski;2603035;21;60,95238095;17,95888476;60;78;21;56,0952381;19,52752578;57;57;19;64,21052632;28,13422517;64;25;;;;;;;;;;;2;;;;;;;;;;;;;;
5;Œwiêtokrzyskie;Kazimierski;Kazimierza Wielka;Miasto;2603034;84;64,30952381;14,57654361;65,5;62;84;48,33333333;28,52164313;43;43;84;71,27380952;28,94261613;83;98;;;;;;;;;;;;;;;;;;;;;;;;;
5;Œwiêtokrzyskie;Kazimierski;Opatowiec;Obszar wiejski;2603045;10;49,7;12,56224502;49;49;10;44,3;23,53316808;36,5;;10;54,3;27,2728803;44;35;;;;;;;;;;;;;;;;;;;;;;;;;
5;Œwiêtokrzyskie;Kazimierski;Opatowiec;Miasto;2603044;13;57,30769231;21,66310091;51;51;13;38,76923077;27,49868206;30;13;13;51,30769231;26,97401774;44;35;;;;;;;;;;;;;;;;;;;;;;;;;
5;Œwiêtokrzyskie;Kazimierski;Skalbmierz;Obszar wiejski;2603055;9;40,66666667;17,70122406;47;24;9;18,22222222;10,98259004;17;27;9;29,66666667;23,7860837;16;16;;;;;;;;;;;;;;;;;;;;;;;;;
5;Œwiêtokrzyskie;Kazimierski;Skalbmierz;Miasto;2603054;45;49,57777778;20,04382852;56;64;45;42,11111111;24,40420931;33;17;45;54,11111111;30,83016;49;96;;;;;;;;;;;;;;;;;;;;;;;;;
5;Œwiêtokrzyskie;Kielce;Kielce;Gmina miejska;2661011;1550;69,82129032;16,6330316;71;73;1549;61,67527437;29,76694133;67;97;1549;79,81342802;24,39669834;91;98;;;;;;;;;;;13;84;21,36496053;95;95;;;;;;;;;;
5;Œwiêtokrzyskie;Kielecki;Bieliny;Gmina wiejska;2604012;102;65,93137255;14,3774468;69;78;102;60,74509804;27,38207739;65;90;102;75,11764706;23,97355329;84;95;;;;;;;;;;;;;;;;;;;;;;;;;
5;Œwiêtokrzyskie;Kielecki;Bodzentyn;Obszar wiejski;2604025;48;63,04166667;13,46903599;60;60;48;49,0625;26,16168178;50;53;47;67,55319149;30,4392024;85;91;;;;;;;;;;;1;;;;;;;;;;;;;;
5;Œwiêtokrzyskie;Kielecki;Bodzentyn;Miasto;2604024;37;67,05405405;15,7359048;71;47;37;44,62162162;26,63806599;40;40;37;69,83783784;29,1959952;84;96;;;;;;;;;;;;;;;;;;;;;;;;;
5;Œwiêtokrzyskie;Kielecki;Chmielnik;Obszar wiejski;2604045;9;69,33333333;13,92040868;73;78;9;62,22222222;30,16170411;73;73;9;69;29,42787794;85;;;;;;;;;;;;;;;;;;;;;;;;;;
5;Œwiêtokrzyskie;Kielecki;Chmielnik;Miasto;2604044;88;65,84090909;19,37658285;69;69;88;45,20454545;26,46874619;43;10;88;63,22727273;29,44437254;69;98;;;;;;;;;;;;;;;;;;;;;;;;;
5;Œwiêtokrzyskie;Kielecki;Chêciny;Obszar wiejski;2604035;64;55,8125;23,81036736;62;64;64;32,6875;26,50464287;20;17;63;53,03174603;30,95412287;45;95;;;;;;;;;;;1;;;;;;;;;;;;;;
5;Œwiêtokrzyskie;Kielecki;Chêciny;Miasto;2604034;49;70,32653061;15,38139315;71;71;49;61,04081633;25,3094797;63;100;48;82,375;20,24189653;93;98;;;;;;;;;;;1;;;;;;;;;;;;;;
5;Œwiêtokrzyskie;Kielecki;Daleszyce;Obszar wiejski;2604055;88;69,11363636;15,06986142;71;60;88;58,42045455;26,76272917;60;57;88;69,26136364;28,07518085;76;96;;;;;;;;;;;;;;;;;;;;;;;;;
5;Œwiêtokrzyskie;Kielecki;Daleszyce;Miasto;2604054;60;63,51666667;15,07480422;64;64;60;45,13333333;27,57382011;40;37;60;66,31666667;29,71727425;79;96;;;;;;;;;;;;;;;;;;;;;;;;;
5;Œwiêtokrzyskie;Kielecki;Górno;Gmina wiejska;2604062;160;71,3375;15,89492352;73;78;160;61,9875;28,33482563;70;77;159;73,38993711;25,92779329;84;96;;;;;;;;;;;1;;;;;;;;;;;;;;
5;Œwiêtokrzyskie;Kielecki;Mas³ów;Gmina wiejska;2604092;73;70,75342466;13,83838301;71;71;73;55,21917808;29,15205605;53;90;70;71,94285714;26,73407976;82;96;;;;;;;;;;;3;;;;;;;;;;;;;;
5;Œwiêtokrzyskie;Kielecki;Miedziana Góra;Gmina wiejska;2604102;104;69,06730769;16,42539335;71;69;104;58,75961538;29,06805516;67;93;104;75,125;26,99525866;87;96;;;;;;;;;;;;;;;;;;;;;;;;;
5;Œwiêtokrzyskie;Kielecki;Mniów;Gmina wiejska;2604112;74;60,12162162;18,2438088;62;71;74;45,18918919;26,57456398;43;23;74;62,60810811;28,2903945;62,5;96;;;;;;;;;;;;;;;;;;;;;;;;;
5;Œwiêtokrzyskie;Kielecki;Morawica;Obszar wiejski;2604125;151;71,84768212;16,33820872;73;80;151;59,26490066;29,20734326;67;97;151;74,21854305;27,9841237;91;98;;;;;;;;;;;1;;;;;;;;;;;;;;
5;Œwiêtokrzyskie;Kielecki;Morawica;Miasto;2604124;55;69,87272727;13,57009352;69;69;55;55,23636364;25,80906369;57;20;54;68,51851852;23,60378245;69;93;;;;;;;;;;;1;;;;;;;;;;;;;;
5;Œwiêtokrzyskie;Kielecki;Nowa S³upia;Obszar wiejski;2604135;37;63,02702703;13,81438046;67;67;37;43,81081081;24,52338965;40;20;37;58,2972973;31,2970639;56;93;;;;;;;;;;;;;;;;;;;;;;;;;
5;Œwiêtokrzyskie;Kielecki;Nowa S³upia;Miasto;2604134;13;61,84615385;14,24427633;64;73;13;50,38461538;30,22616915;47;13;13;65,69230769;28,27443699;78;78;;;;;;;;;;;;;;;;;;;;;;;;;
5;Œwiêtokrzyskie;Kielecki;Nowiny;Gmina wiejska;2604172;89;74,34831461;11,09317142;78;78;89;50,85393258;26,92793152;53;73;85;75,34117647;24,52252407;87;98;;;;;;;;;;;4;;;;;;;;;;;;;;
5;Œwiêtokrzyskie;Kielecki;Piekoszów;Obszar wiejski;2604145;96;69,13541667;14,45655834;70;62;96;57,33333333;28,12274682;63;63;96;71,5;26,64895245;82;98;;;;;;;;;;;;;;;;;;;;;;;;;
5;Œwiêtokrzyskie;Kielecki;Piekoszów;Miasto;2604144;49;65,65306122;18,7404953;67;78;49;51,46938776;30,79895442;47;30;49;65,65306122;31,19167276;82;93;;;;;;;;;;;;;;;;;;;;;;;;;
5;Œwiêtokrzyskie;Kielecki;Pierzchnica;Obszar wiejski;2604155;9;50,77777778;12,75214821;47;38;9;48,55555556;28,21784743;47;27;9;57,88888889;33,31480967;65;;;;;;;;;;;;;;;;;;;;;;;;;;
5;Œwiêtokrzyskie;Kielecki;Pierzchnica;Miasto;2604154;44;69,93181818;14,74078715;73;73;44;52,88636364;28,11843128;50;53;44;64,25;29,58510451;72;93;;;;;;;;;;;;;;;;;;;;;;;;;
5;Œwiêtokrzyskie;Kielecki;Raków;Gmina wiejska;2604162;38;66,31578947;13,44796064;69;69;38;53,94736842;29,30775662;50;83;38;69,63157895;25,48107766;79;87;;;;;;;;;;;;;;;;;;;;;;;;;
5;Œwiêtokrzyskie;Kielecki;Strawczyn;Gmina wiejska;2604182;106;67,32075472;15,90155277;70;76;106;50,21698113;27,87709032;50;60;106;65,81132075;29,0932506;71;98;;;;;;;;;;;;;;;;;;;;;;;;;
5;Œwiêtokrzyskie;Kielecki;Zagnañsk;Gmina wiejska;2604192;109;66,69724771;14,68663787;69;76;109;56,2293578;29,70887274;60;63;107;72,64485981;27,58207881;84;96;;;;;;;;;;;2;;;;;;;;;;;;;;
5;Œwiêtokrzyskie;Kielecki;£agów;Obszar wiejski;2604075;24;65,70833333;19,56501803;71;58;24;40,125;24,60743875;35;23;24;59,125;32,22358414;68,5;18;;;;;;;;;;;;;;;;;;;;;;;;;
5;Œwiêtokrzyskie;Kielecki;£agów;Miasto;2604074;45;66,51111111;17,67059355;69;62;45;38,64444444;26,85695073;33;7;45;61,66666667;30,32783833;67;96;;;;;;;;;;;;;;;;;;;;;;;;;
5;Œwiêtokrzyskie;Kielecki;£opuszno;Obszar wiejski;2604085;19;67,05263158;20,10622759;69;60;19;53,63157895;26,06108316;53;67;19;63,68421053;28,99737308;75;40;;;;;;;;;;;;;;;;;;;;;;;;;
5;Œwiêtokrzyskie;Kielecki;£opuszno;Miasto;2604084;53;56,11320755;22,24279436;56;80;53;44,71698113;27,40498327;40;13;52;56,46153846;31,01021019;54,5;98;;;;;;;;;;;1;;;;;;;;;;;;;;
5;Œwiêtokrzyskie;Konecki;Fa³ków;Gmina wiejska;2605012;31;68,35483871;19,696976;71;60;31;53,29032258;33,49067617;47;100;31;70,38709677;29,83035628;85;96;;;;;;;;;;;;;;;;;;;;;;;;;
5;Œwiêtokrzyskie;Konecki;Gowarczów;Miasto;2605024;30;47,5;19,01534468;44;29;30;34,8;22,42528335;27;17;30;57,5;29,92184263;61;96;;;;;;;;;;;;;;;;;;;;;;;;;
5;Œwiêtokrzyskie;Konecki;Koñskie;Obszar wiejski;2605035;117;65,21367521;17,60284993;69;69;117;43,53846154;26,41404006;40;17;111;62,22522523;29,35544356;65;95;;;;;;;;;;;6;60,83333333;16,73735012;60;;;;;;;;;;;
5;Œwiêtokrzyskie;Konecki;Koñskie;Miasto;2605034;142;61,3943662;19,91211598;62;82;142;44,36619718;27,15590846;43;17;142;72,17605634;27,10836348;84;93;;;;;;;;;;;;;;;;;;;;;;;;;
5;Œwiêtokrzyskie;Konecki;Radoszyce;Obszar wiejski;2605045;54;59,92592593;21,05007421;58;44;54;51,27777778;31,25902339;47;17;53;62,01886792;30,77274619;62;100;;;;;;;;;;;1;;;;;;;;;;;;;;
5;Œwiêtokrzyskie;Konecki;Radoszyce;Miasto;2605044;30;58,2;17,80711468;60;60;30;51,43333333;32,34571928;47;23;30;66,03333333;30,59246458;81;98;;;;;;;;;;;;;;;;;;;;;;;;;
5;Œwiêtokrzyskie;Konecki;Ruda Maleniecka;Gmina wiejska;2605052;23;64,65217391;15,26179856;62;58;23;51,04347826;25,11102003;60;60;23;62,17391304;23,59007192;64;64;;;;;;;;;;;;;;;;;;;;;;;;;
5;Œwiêtokrzyskie;Konecki;Smyków;Gmina wiejska;2605072;29;60,20689655;18,04091004;64;64;29;47,86206897;26,82474943;43;27;29;53,75862069;26,8901407;53;49;;;;;;;;;;;;;;;;;;;;;;;;;
5;Œwiêtokrzyskie;Konecki;St¹porków;Obszar wiejski;2605085;47;60,17021277;17,02353708;60;60;47;37,80851064;26,98828611;30;13;47;50,74468085;32,42107804;38;18;;;;;;;;;;;;;;;;;;;;;;;;;
5;Œwiêtokrzyskie;Konecki;St¹porków;Miasto;2605084;62;61,79032258;19,24136765;62;56;63;48,80952381;27,15029138;53;60;63;68,33333333;28,07020677;78;96;;;;;;;;;;;;;;;;;;;;;;;;;
5;Œwiêtokrzyskie;Konecki;S³upia Konecka;Gmina wiejska;2605062;22;55,72727273;13,77805178;58;69;22;41,77272727;23,41897408;41,5;53;22;54,54545455;28,2613248;58;15;;;;;;;;;;;;;;;;;;;;;;;;;
5;Œwiêtokrzyskie;Opatowski;Baækowice;Gmina wiejska;2606012;42;56,19047619;16,15731899;60;62;42;50,45238095;29,82345065;46,5;7;42;67,78571429;31,08861047;83;100;;;;;;;;;;;;;;;;;;;;;;;;;
5;Œwiêtokrzyskie;Opatowski;Iwaniska;Obszar wiejski;2606025;13;60,76923077;19,14782111;62;24;13;41,92307692;22,75779339;37;10;13;50,53846154;28,59159474;44;16;;;;;;;;;;;;;;;;;;;;;;;;;
5;Œwiêtokrzyskie;Opatowski;Iwaniska;Miasto;2606024;31;50,25806452;16,4433882;53;51;31;40,51612903;26,23205496;33;13;31;53,32258065;27,94970956;47;15;;;;;;;;;;;;;;;;;;;;;;;;;
5;Œwiêtokrzyskie;Opatowski;Lipnik;Gmina wiejska;2606032;28;59,89285714;14,11012627;59;49;28;41,78571429;25,48859289;37;23;28;70,35714286;26,05929267;78;96;;;;;;;;;;;;;;;;;;;;;;;;;
5;Œwiêtokrzyskie;Opatowski;Opatów;Miasto;2606044;74;63,47297297;19,36925885;65,5;78;74;58,10810811;25,68287239;57;53;74;78,2027027;24,01518648;89;98;;;;;;;;;;;;;;;;;;;;;;;;;
5;Œwiêtokrzyskie;Opatowski;O¿arów;Obszar wiejski;2606055;13;48,23076923;11,61003443;53;56;14;35,28571429;27,01964516;30;50;14;53,35714286;28,57973094;46;22;;;;;;;;;;;;;;;;;;;;;;;;;
5;Œwiêtokrzyskie;Opatowski;O¿arów;Miasto;2606054;85;56,31764706;19,74198975;60;60;85;58,76470588;33,81390144;63;100;85;72,63529412;30,71188582;87;96;;;;;;;;;;;;;;;;;;;;;;;;;
5;Œwiêtokrzyskie;Opatowski;Sadowie;Gmina wiejska;2606062;27;56,03703704;23,5127727;58;47;27;50,25925926;25,33419968;47;20;27;71,51851852;24,93008055;80;100;;;;;;;;;;;;;;;;;;;;;;;;;
5;Œwiêtokrzyskie;Opatowski;Tar³ów;Gmina wiejska;2606072;27;56,59259259;15,42547018;58;51;27;44,22222222;31,72723253;33;13;27;55,74074074;27,04672581;56;38;;;;;;;;;;;;;;;;;;;;;;;;;
5;Œwiêtokrzyskie;Opatowski;Wojciechowice;Gmina wiejska;2606082;26;53,65384615;17,7025472;59;62;26;45,23076923;32,21001719;48,5;13;26;62,80769231;31,04217879;75,5;96;;;;;;;;;;;;;;;;;;;;;;;;;
5;Œwiêtokrzyskie;Ostrowiecki;Ba³tów;Gmina wiejska;2607022;14;63,92857143;12,4926509;62;49;14;30,78571429;14,06707692;27;27;14;57,35714286;21,34280455;55,5;38;;;;;;;;;;;;;;;;;;;;;;;;;
5;Œwiêtokrzyskie;Ostrowiecki;Bodzechów;Gmina wiejska;2607032;84;61,48809524;18,1668812;63;64;84;39,27380952;25,3674666;30;30;84;65,95238095;28,19359297;71;93;;;;;;;;;;;;;;;;;;;;;;;;;
5;Œwiêtokrzyskie;Ostrowiecki;Kunów;Obszar wiejski;2607055;12;62,83333333;14,51914445;61;62;12;51,83333333;18,33409089;55;30;12;65;26,16932046;66,5;22;;;;;;;;;;;;;;;;;;;;;;;;;
5;Œwiêtokrzyskie;Ostrowiecki;Kunów;Miasto;2607054;43;62,74418605;20,12067434;69;76;43;42,23255814;27,78558871;33;13;43;70,46511628;29,08236006;84;95;;;;;;;;;;;;;;;;;;;;;;;;;
5;Œwiêtokrzyskie;Ostrowiecki;Ostrowiec Œwiêtokrzyski;Gmina miejska;2607011;506;61,32411067;19,79094524;64;73;505;43,78613861;27,76545696;40;17;506;66,84189723;30,3256812;78;98;;;;;;;;;;;1;;;;;;;;;;;;;;
5;Œwiêtokrzyskie;Ostrowiecki;Waœniów;Gmina wiejska;2607062;60;56;15,64502051;60;44;60;43,75;27,63549951;41,5;17;60;54,03333333;29,64510452;53,5;38;;;;;;;;;;;;;;;;;;;;;;;;;
5;Œwiêtokrzyskie;Ostrowiecki;Æmielów;Obszar wiejski;2607045;10;51,8;18,0930926;54,5;42;10;22,4;13,92264343;20;7;10;56,1;30,04479988;51;49;;;;;;;;;;;;;;;;;;;;;;;;;
