;;;;;;jêzyk polski;;;;;matematyka;;;;;jêzyk angielski;;;;;jêzyk francuski;;;;;jêzyk hiszpañski;;;;;jêzyk niemiecki;;;;;jêzyk rosyjski;;;;;jêzyk w³oski;;;;
ID OKE;województwo - nazwa;powiat - nazwa;Gmina - nazwa;Typ gminy;Kod teryt gminy;liczba zdaj¹cych;wynik œredni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdaj¹cych;wynik œredni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdaj¹cych;wynik œredni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdaj¹cych;wynik œredni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdaj¹cych;wynik œredni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdaj¹cych;wynik œredni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdaj¹cych;wynik œredni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdaj¹cych;wynik œredni (%);odchylenie standardowe (%);mediana (%);modalna (%)
1;Kujawsko-Pomorskie;Mogileñski;Strzelno;Obszar wiejski;0409045;20;67,7;14,77531726;63;60;20;49,25;29,62072754;43,5;17;20;50,5;30,52130404;40;98;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Mogileñski;Strzelno;Miasto;0409044;78;55,07692308;20,16583124;60;62;78;38,56410256;26,26765084;33;13;78;63,08974359;30,0572897;75;98;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Nakielski;Kcynia;Obszar wiejski;0410015;56;53,85714286;17,16144825;58;58;56;34,78571429;24,05998032;26,5;23;55;49,21818182;30,76047695;40;20;;;;;;;;;;;1;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Nakielski;Kcynia;Miasto;0410014;53;52,35849057;16,18535833;56;49;53;33,71698113;23,1731606;27;27;53;60,13207547;30,55340992;67;95;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Nakielski;Mrocza;Obszar wiejski;0410025;20;73,5;12,06026534;74,5;67;20;49,5;25,21606631;47;47;20;74,75;26,62306331;84,5;96;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Nakielski;Mrocza;Miasto;0410024;63;63,52380952;16,77853612;64;76;63;47,03174603;28,9432769;40;20;62;64,77419355;29,87577471;69;98;;;;;;;;;;;1;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Nakielski;Nak³o Nad Noteci¹;Miasto;0410034;178;60,43820225;20,56065571;62;69;178;40,60674157;26,43313293;33;33;177;62,44632768;30,45787497;69;95;;;;;;;;;;;1;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Nakielski;Nak³o Nad Noteci¹;Obszar wiejski;0410035;100;59,07;17,24195755;62;64;100;41,92;25,98641183;33;10;100;65,48;30,18856737;73;96;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Nakielski;Sadki;Gmina wiejska;0410042;59;63,57627119;16,2441159;69;69;59;40,6440678;23,06789001;33;33;59;58,16949153;29,17925461;62;95;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Nakielski;Szubin;Obszar wiejski;0410055;108;57,63888889;16,97463158;60;64;108;38,61111111;25,6651635;30;23;108;67,83333333;29,20156642;80;98;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Nakielski;Szubin;Miasto;0410054;125;65,24;20,57820206;69;80;125;47,344;27,99317174;47;10;126;63,8015873;28,27613831;68;98;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Radziejowski;Bytoñ;Gmina wiejska;0411022;17;70,29411765;16,56986885;67;67;17;46,17647059;31,63065396;37;10;17;66,05882353;32,81404037;78;18;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Radziejowski;Dobre;Gmina wiejska;0411032;34;66,97058824;15,83088065;68;67;34;53;25,50317166;50;20;34;69,73529412;27,23569114;78;98;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Radziejowski;Osiêciny;Gmina wiejska;0411042;74;55,7972973;19,00425253;58;58;74;40,74324324;28,16940108;30;20;72;66,20833333;30,10534167;73;98;;;;;;;;;;;2;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Radziejowski;Piotrków Kujawski;Miasto;0411054;64;57,890625;21,43968078;63;67;64;45,703125;29,9873305;41,5;20;64;65,125;31,33214204;74;100;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Radziejowski;Piotrków Kujawski;Obszar wiejski;0411055;15;58,53333333;16,3457096;67;67;15;46,46666667;25,45025649;50;10;15;66,66666667;25,78543947;73;22;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Radziejowski;Radziejów;Gmina wiejska;0411062;26;64,92307692;16,06219421;65,5;58;26;55,88461538;27,35426689;60;13;26;53,65384615;28,32903146;49;15;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Radziejowski;Radziejów;Gmina miejska;0411011;51;62,29411765;14,52286111;64;67;52;47,21153846;25,37816789;43;23;52;66,78846154;29,74852067;77,5;87;;;;;;;;;;;;;;;;;;;;;;;;;
